Item,Classification,Source,Question,Answer,Prefix,definite-yes,probable-yes,definite-no,probable-no,DevEval,QuestionParse,AnswerParse
118,CNN,LouDobbsTonight/0507-25-ldt.01.txt,Is the new judge really this good?,He is great.,,30,0,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (JJ new) (NN judge)) (ADVP (RB really)) (NP (DT this) (JJ-CONTRAST good)) (. ?)),(S (NP (PRP He)) (VP (VBZ is) (ADJP (JJ-CONTRAST great))) (. .))
98,CNN,TheSituationRoom/0707-17-sitroom.02.txt,Is the senator's claim correct?,It's absolutely untrue.,,0,0,28,2,DEVELOPMENT,(SQ (VBZ Is) (NP (NP (DT the) (NN senator) (POS 's)) (NN claim)) (ADJP (JJ-CONTRAST correct)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (ADJP-CONTRAST (RB absolutely) (JJ untrue))) (. .))
171,CNN,LarryKingLive/0108-05-lklw.00.txt,Is it hard for you?,It's been extremely difficult for me.,,28,2,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (ADJP (JJ-CONTRAST hard) (PP (IN for) (NP (PRP you)))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (VP (VBN been) (ADJP-CONTRAST (RB extremely) (JJ difficult)) (PP (IN for) (NP (PRP me))))) (. .))
110,CNN,LouDobbsTonight/0703-28-ldt.02.txt,Is it your sense you're going to be able to get your law through?,We're very confident.,,15,15,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP-CONTRAST (PRP$ your) (NN sense)) (SBAR (S (NP (PRP you)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (NP (PRP$ your) (NN law)) (PRT (RP through))))))))))))) (. ?)),(S (NP (PRP We)) (VP (VBP 're) (ADJP-CONTRAST (RB very) (JJ confident))) (. .))
79,CNN,LarryKingLive/0103-27-lkl.00.txt,Do you think she'd be happy with this book?,I think she'd be delighted by it.,,28,2,0,0,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP she)) (VP (MD 'd) (VP (VB be) (ADJP (JJ-CONTRAST happy) (PP (IN with) (NP (DT this) (NN book))))))))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP she)) (VP (MD 'd) (VP (VB be) (ADJP (JJ-CONTRAST delighted) (PP (IN by) (NP (PRP it))))))))) (. .))
153,CNN,TheSituationRoom/0707-17-sitroom.01.txt,Do you have confidence in the estimate?,I'm a bit more skeptical than I'd like to be about these things for all the obvious reasons.,,0,0,12,18,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB have) (NP (NP (NN-CONTRAST confidence)) (PP (IN in) (NP (DT the) (NN estimate))))) (. ?)),(S (NP (PRP I)) (VP (VBP 'm) (ADJP (ADJP (NP (DT a) (RB bit)) (RBR more) (JJ-CONTRAST skeptical)) (SBAR (IN than) (S (NP (PRP I)) (VP (MD 'd) (VP (VB like) (S (VP (TO to) (VP (VB be) (PP (IN about) (NP (NP (DT these) (NNS things)) (PP (IN for) (NP (PDT all) (DT the) (JJ obvious) (NNS reasons)))))))))))))) (. .))
1012,CNN,LarryKingLive/0711-29-lkl.01.txt,Was this a commercial plane?,It was a private plane.,no,0,0,27,3,DEVELOPMENT,(SQ (VBD Was) (NP (DT this)) (NP (DT a) (JJ-CONTRAST commercial) (NN plane)) (. ?)),(S (NP (PRP It)) (VP (VBD was) (NP (DT a) (JJ-CONTRAST private) (NN plane))) (. .))
83,CNN,LouDobbsTonight/0602-24-ldt.01.txt,Is it good that our representatives are finally listening to working people?,I think it's a very positive thing.,,26,4,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (ADJP (JJ-CONTRAST good)) (SBAR (IN that) (S (NP (PRP$ our) (NNS representatives)) (VP (VBP are) (ADVP (RB finally)) (VP (VBG listening) (PP (TO to) (NP (VBG working) (NNS people)))))) (. ?))),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (ADJP-CONTRAST (RB very) (JJ positive)) (NN thing)))))) (. .))
65,CNN,LateEdition/0112-23-le.00.txt,Is the payout distribution fair?,It's about as fair as you can get under the circumstances.,,8,20,0,2,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NN payout) (NN distribution)) (ADJP-CONTRAST (JJ fair)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (ADJP-CONTRAST (IN about) (RB as) (JJ fair)) (SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB get) (PP (IN under) (NP (DT the) (NNS circumstances)))))))) (. .))
154,CNN,LarryKingLive/0104-12-lkl.00.txt,Is walking four miles a day good exercise?,"Well, I think that is terrific.",,23,7,0,0,DEVELOPMENT,(SQ (VBZ Is) (S (VP (VBG walking) (NP (CD four) (NNS miles)) (NP-TMP (DT a) (NN day)))) (NP (JJ-CONTRAST good) (NN exercise)) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBZ is) (ADJP (JJ-CONTRAST terrific)))))) (. .))"
1008,CNN,LarryKingLive/0504-06-lkl.01.txt,Was he a great movie director?,He was a wonderful movie director.,,25,5,0,0,DEVELOPMENT,(SQ (VBD Was) (NP (PRP he)) (NP (DT a) (JJ-CONTRAST great) (NN movie) (NN director)) (. ?)),(S (NP (PRP He)) (VP (VBD was) (NP (DT a) (JJ-CONTRAST wonderful) (NN movie) (NN director))) (. .))
1001,CNN,AndersonCooper360/0702-05-acd.02.txt,Is this a giant step?,It's a big step.,,7,22,0,1,DEVELOPMENT,(SQ (VBZ Is) (NP (DT this)) (NP (DT a) (JJ-CONTRAST giant) (NN step)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST big) (NN step))) (. .))
1000,CNN,AndersonCooper360/0606-26-acd.02.txt,Is it a smart move to call him back?,It's a tough call.,,0,3,1,26,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP (NP-CONTRAST (DT a) (JJ smart) (NN move))) (S (VP (TO to) (VP (VB call)) (SBAR (S (NP (PRP him)) (VP (VBP back)))))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP-CONTRAST (DT a) (JJ tough) (NN call))) (. .))
129,CNN,LateEdition/0607-23-le.01.txt,Is it wise right now to engage them directly?,"Well, I don't think that's appropriate.",,0,0,19,11,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (ADJP (JJ-CONTRAST wise) (ADVP (JJ right) (RB now)) (S (VP (TO to) (VP (VB engage) (NP (PRP them)) (ADVP (RB directly)))))) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (VP (VBZ 's) (ADJP (JJ-CONTRAST appropriate))))))) (. .))"
1014,CNN,LateEdition/0304-20-le.00.txt,Is he a lock for reelection?,I think he's an overwhelming favorite.,,18,11,0,1,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP he)) (NP (NP-CONTRAST (DT a) (NN lock)) (PP (IN for) (NP (NN reelection)))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (NP-CONTRAST (DT an) (JJ overwhelming) (NN favorite)))))) (. .))
131,CNN,LarryKingLive/0504-15-lkl.01.txt,Was he a successful ruler?,"Oh, a tremendous ruler.",,23,7,0,0,DEVELOPMENT,(SQ (VBD Was) (NP (PRP he)) (NP (DT a) (JJ-CONTRAST successful) (NN ruler)) (. ?)),"(FRAG (INTJ (UH Oh)) (, ,) (NP (DT a) (JJ-CONTRAST tremendous) (NN ruler)) (. .))"
94,CNN,LarryKingLive/0203-22-lkl.00.txt,Are you happy with your current employers?,They're great.,,28,2,0,0,DEVELOPMENT,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST happy) (PP (IN with) (NP (PRP$ your) (JJ current) (NNS employers)))) (. ?)),(S (NP (PRP They)) (VP (VBP 're) (ADJP (JJ-CONTRAST great))) (. .))
1016,CNN,TheSituationRoom/0512-01-sitroom.02.txt,Is that a fair concern?,It's a legitimate concern.,,13,16,0,1,DEVELOPMENT,(SQ (VBZ Is) (NP (DT that)) (NP (DT a) (JJ-CONTRAST fair) (NN concern)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST legitimate) (NN concern))) (. .))
1005,CNN,LarryKingLive/0211-12-lkl.00.txt,Was he a weak witness?,I thought he was a very weak witness.,,26,3,0,1,DEVELOPMENT,(SQ (VBD Was) (NP (PRP he)) (NP (DT a) (JJ-CONTRAST weak) (NN witness)) (. ?)),(S (NP (PRP I)) (VP (VBD thought) (SBAR (S (NP (PRP he)) (VP (VBD was) (NP (DT a) (ADJP-CONTRAST (RB very) (JJ weak)) (NN witness)))))) (. .))
97,CNN,AndersonCooper360/0601-10-acd.01.txt,Are the hostages okay?,They're doing fine.,,23,6,0,1,DEVELOPMENT,(SQ (VBP Are) (NP (DT the) (NNS hostages)) (ADJP (JJ-CONTRAST okay) (. ?))),(S (NP (PRP They)) (VP (VBP 're) (VP (VBG doing) (ADJP (JJ-CONTRAST fine)))) (. .))
92,CNN,LarryKingLive/0510-24-lkl.01.txt,Is the weather nice now?,Beautiful weather.,,27,3,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NN weather)) (ADJP (JJ-CONTRAST nice) (RB now)) (. ?)),(FRAG (NP (JJ-CONTRAST Beautiful) (NN weather)) (. .))
1011,CNN,LarryKingLive/0606-23-lkl.01.txt,Is there a winner by audience vote?,"Well, the audience has a lot to do with it.",,0,27,0,3,DEVELOPMENT,(SQ (VBZ Is) (NP (EX there)) (NP (NP (DT a) (NN winner)) (PP-CONTRAST (IN by) (NP (NN audience) (NN vote)))) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (DT the) (NN audience)) (VP-CONTRAST (VBZ has) (NP (DT a) (NN lot) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (PRP it)))))))) (. .))"
155,CNN,LouDobbsTonight/0409-08-ldt.00.txt,Are you comfortable staying here for a while?,I'd be happy to do that.,,22,8,0,0,DEVELOPMENT,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST comfortable) (S (VP (VBG staying) (ADVP (RB here)) (PP (IN for) (NP (DT a) (NN while)))))) (. ?)),(S (NP (PRP I)) (VP (MD 'd) (VP (VB be) (ADJP (JJ-CONTRAST happy) (S (VP (TO to) (VP (VB do) (NP (DT that)))))))) (. .))
145,CNN,LarryKingLive/0206-27-lkl.00.txt,Is that a good idea?,I think it's a wonderful idea.,,28,2,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT that)) (NP (DT a) (JJ-CONTRAST good) (NN idea)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST wonderful) (NN idea)))))) (. .))
115,CNN,AndersonCooper360/0407-16-acd.00.txt,Is the new show worth seeing?,I think it's really really funny.,,13,17,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (JJ new) (NN show)) (ADJP-CONTRAST (JJ worth) (VBG seeing)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADVP-CONTRAST (RB really)) (ADJP (RB really) (JJ funny)))))) (. .))
143,CNN,LouDobbsTonight/0410-19-ldt.01.txt,Do you think it's a good idea to just ignore these numbers?,I think it's an excellent idea.,,29,1,0,0,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST good) (NN idea) (S (VP (TO to) (VP (ADVP (RB just)) (VB ignore) (NP (DT these) (NNS numbers)))))))))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT an) (JJ-CONTRAST excellent) (NN idea)))))) (. .))
1002,CNN,AndersonCooper360/0809-30-acd.01.txt,Is that a barrette?,I think it's a ponytail.,,0,1,7,22,DEVELOPMENT,(SQ (VBZ Is) (NP (DT that)) (NP (DT a) (NN-CONTRAST barrette)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST ponytail)))))) (. .))
1004,CNN,LarryKingLive/0206-04-lkl.01.txt,Is there an heir apparent?,There's a number of heirs apparent.,,20,8,0,2,DEVELOPMENT,(SQ (VBZ Is) (NP (EX there)) (NP (NP (DT-CONTRAST an) (NN heir)) (ADJP (JJ apparent))) (. ?)),(S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT-CONTRAST a) (NN-CONTRAST number)) (PP (IN of) (NP (NP (NNS heirs)) (ADJP (JJ apparent)))))) (. .))
137,CNN,LarryKingLive/0112-08-lklw.00.txt,Are you encouraged by the new developments?,I'm not so optimistic for the time being.,,0,1,15,14,DEVELOPMENT,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST encouraged) (PP (IN by) (NP (DT the) (JJ new) (NNS developments)))) (. ?)),(S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (RB so) (JJ-CONTRAST optimistic) (PP (IN for) (NP (DT the) (NN time) (VBG being))))) (. .))
174,CNN,LarryKingLive/0008-28-lkl.00.txt,Is health going to be a big issue?,I think health is going to be a major issue.,,28,2,0,0,EVALUATION,(SQ (VBZ Is) (NP (NN health)) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ-CONTRAST big) (NN issue)))))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NN health)) (VP (VBZ is) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ-CONTRAST major) (NN issue)))))))))) (. .))
127,CNN,LouDobbsTonight/0512-19-ldt.01.txt,Do you think that's a big problem we should be addressing?,I think it's a huge problem.,,25,5,0,0,EVALUATION,(SQ (VBP Do) (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT that)) (VP (VBZ 's) (NP (NP (DT a) (JJ-CONTRAST big) (NN problem)) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB be) (VP (VBG addressing))))))))))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST huge) (NN problem)))))) (. .))
117,CNN,AndersonCooper360/0702-02-acd.01.txt,Are you confident you are going to get the help you need?,We're very optimistic.,,18,12,0,0,EVALUATION,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST confident) (SBAR (S (NP (PRP you)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB get) (NP (NP (DT the) (NN help)) (SBAR (S (NP (PRP you)) (VP (VBP need))))))))))))) (. ?)),(S (NP (PRP We)) (VP (VBP 're) (ADJP-CONTRAST (RB very) (JJ optimistic))) (. .))
1017,CNN,SanjayGuptaMD/0511_19_hcsg.01.txt,Is this a solvable problem?,"Well, it's a societal problem.",,0,5,0,25,EVALUATION,(SQ (VBZ Is) (NP (DT this)) (NP (DT a) (JJ-CONTRAST solvable) (NN problem)) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST societal) (NN problem))) (. .))"
22,CNN,LateEdition/0207-07-le.00.txt,Is the lack of security on private planes a huge gap in the security system?,It is a gap.,,10,20,0,0,EVALUATION,(SQ (VBZ Is) (NP (NP (DT the) (NN lack)) (PP (IN of) (NP (NP (NN security)) (PP (IN on) (NP (JJ private) (NNS planes)))))) (NP (NP (DT a) (JJ-CONTRAST huge) (NN-CONTRAST gap)) (PP (IN in) (NP (DT the) (NN security) (NN system)))) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST gap))) (. .))
120,CNN,TheSituationRoom/0605-12-sitroom.02.txt,Did I get all the details right?,I think you did very well.,,11,18,0,1,EVALUATION,(SQ (VBD Did) (NP (PRP I)) (VP (VB get) (NP (PDT all) (DT the) (NNS details)) (ADVP (RB-CONTRAST right))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP you)) (VP (VBD did) (ADVP-CONTRAST (RB very) (RB well)))))) (. .))
136,CNN,LateEdition/0212-01-le.00.txt,Are you ready to question the decision?,I think it's premature at this point.,,0,1,18,11,EVALUATION,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST ready) (S (VP (TO to) (VP (VB question) (NP (DT the) (NN decision)))))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ-CONTRAST premature) (PP (IN at) (NP (DT this) (NN point)))))))) (. .))
1007,CNN,LarryKingLive/0411-18-lkl.01.txt,Is that a problem for Monaco?,It's a problem everywhere in the world.,,16,14,0,0,EVALUATION,(SQ (VBZ Is) (NP (DT that)) (NP (NP (DT a) (NN problem)) (PP-CONTRAST (IN for) (NP (NNP Monaco)))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT a) (NN problem)) (ADVP-CONTRAST (RB everywhere) (PP (IN in) (NP (DT the) (NN world)))))) (. .))
1006,CNN,LarryKingLive/0309-19-lkl.00.txt,Was the announcement a bold and correct move?,I think it was a correct move.,,15,13,0,2,EVALUATION,(SQ (VBD Was) (NP (DT the) (NN announcement)) (PP (DT a) (NP (JJ-CONTRAST bold) (CC-CONTRAST and) (JJ-CONTRAST correct) (NN move))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (JJ-CONTRAST correct) (NN move)))))) (. .))
1018,CNN,YourMoney/0410_10_cnnitm.01.txt,Is an allowance a bad thing?,An allowance is a good thing.,no,2,0,27,1,EVALUATION,(SQ (VBZ Is) (NP (DT an) (NN allowance)) (NP (DT a) (JJ-CONTRAST bad) (NN thing)) (. ?)),(S (NP (DT An) (NN allowance)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST good) (NN thing))) (. .))
166,CNN,LarryKingLive/0103-24-lklw.00.txt,Is the current case a good example of that?,It is an excellent example.,,28,2,0,0,EVALUATION,(SQ (VBZ Is) (NP (DT the) (JJ current) (NN case)) (NP (NP (DT a) (JJ-CONTRAST good) (NN example)) (PP (IN of) (NP (DT that)))) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT an) (JJ-CONTRAST excellent) (NN example))) (. .))
109,CNN,AndersonCooper360/0802-07-acd.02.txt,Is it necessary to change the current system?,It's vital.,,29,1,0,0,EVALUATION,(SQ (VBZ Is) (NP (PRP it)) (ADJP (JJ-CONTRAST necessary)) (S (VP (TO to) (VP (VB change) (NP (DT the) (JJ current) (NN system))))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (ADJP (JJ-CONTRAST vital))) (. .))
168,CNN,LarryKingLive/0808-28-lkl.01.txt,Was it a good ad?,It was a great ad.,,30,0,0,0,EVALUATION,(SQ (VBD Was) (NP (PRP it)) (NP (DT a) (JJ-CONTRAST good) (NN ad)) (. ?)),(S (NP (PRP It)) (VP (VBD was) (NP (DT a) (JJ-CONTRAST great) (NN ad))) (. .))
1013,CNN,LarryKingLive/0801-04-lkl.01.txt,Was it a migraine?,It was a very serious headache.,,2,21,3,4,EVALUATION,(SQ (VBD Was) (NP (PRP it)) (NP (DT a) (NN-CONTRAST migraine)) (. ?)),(S (NP (PRP It)) (VP (VBD was) (NP (DT a) (ADJP-CONTRAST (RB very) (JJ serious)) (NN-CONTRAST headache))) (. .))
147,CNN,AndersonCooper360/0407-30-acd.00.txt,Is it correct that you want to confront him?,That's right.,,29,1,0,0,EVALUATION,(SQ (VBZ Is) (NP (PRP it)) (ADJP (JJ-CONTRAST correct)) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB confront) (NP (PRP him)))))))) (. ?)),(S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ-CONTRAST right))) (. .))
150,CNN,LouDobbsTonight/0608-08-ldt.01.txt,Is it relatively quiet as compared to previous nights?,It is certainly lighter than it was on Monday.,,5,20,1,4,EVALUATION,(SQ (VBZ Is) (NP (PRP it)) (ADJP-CONTRAST (RB relatively) (JJ quiet)) (S (ADJP (IN as)) (S (VP (VBN compared) (PP (TO to) (NP (JJ previous) (NNS nights)))))) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (ADVP (RB-CONTRAST certainly)) (ADJP (JJR-CONTRAST lighter)) (SBAR (IN than) (S (NP (PRP it)) (VP (VBD was) (PP (IN on) (NP (NNP Monday))))))) (. .))
104,CNN,AndersonCooper360/0805-08-acd.01.txt,Are you ready for this next phase?,I'm actually looking forward to it.,,25,4,1,0,EVALUATION,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST ready) (PP (IN for) (NP (DT this) (JJ next) (NN phase)))) (. ?)),(S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB actually)) (VP (VBG-CONTRAST looking) (ADVP (RB-CONTRAST forward)) (PP (TO-CONTRAST to) (NP (PRP it))))) (. .))
4000,Hirschberg,Hirschberg1985,Did you manage to read that section I gave you?,I read the first couple of pages.,,0,6,6,18,DEVELOPMENT,(SQ (VBD Did) (NP (PRP you)) (VP (VB manage) (S (VP (TO to) (VP (VB read) (NP-CONTRAST (NP (DT that) (NN section)) (SBAR (S (NP (PRP I)) (VP (VBD gave) (NP (PRP you)))))))))) (. ?)),(S (NP (PRP I)) (VP (VBP read) (NP-CONTRAST (NP (DT the) (JJ first) (NN couple)) (PP (IN of) (NP (NNS pages))))) (. .))
4021,Hirschberg,Hirschberg1985,Are you on your honeymoon?,"Well, I was.",,0,5,12,13,DEVELOPMENT,(SQ (VBP-CONTRAST Are) (NP (PRP you)) (PP (IN on) (NP (PRP$ your) (NN honeymoon))) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBD-CONTRAST was)) (. .))"
4034,Hirschberg,Hirschberg1985,Are you sick?,I've got allergies.,,3,10,2,15,DEVELOPMENT,(SQ (VBP Are) (NP (PRP you)) (ADJP (JJ-CONTRAST sick) (. ?))),(S (NP (PRP I)) (VP (VBP 've) (VP-CONTRAST (VBN got) (NP (NNS allergies)))) (. .))
4031,Hirschberg,Hirschberg1985,Do you have italian dressing?,We have vinaigrette.,,1,7,9,13,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB have) (NP (JJ-CONTRAST italian) (NN dressing))) (. ?)),(S (NP (PRP We)) (VP (VBP have) (NP (NN-CONTRAST vinaigrette))) (. .))
